rs,name,lon,lat
55,Margraten,5.821,50.82
66,Luttelgeest,5.851,52.744
33,Leusden-Zuid,5.407,52.116
28,Hempens,5.839,53.179
46,Loon,6.612,53.013
28,Stoutenburg,5.432,52.154
39,Hantum,5.965,53.363
28,Dwarsgracht,6.037,52.725
46,Boerakker,6.33,53.187
55,Drijber,6.538,52.792
66,Bellingwolde,7.167,53.12
24,Drachtstercompagnie,6.143,53.135
33,Broeksterwald,5.995,53.275
33,Noord-Sleen,6.803,52.79
46,Bunnik,5.203,52.066
33,Kelpen-Oler,5.823,51.221
46,Stolwijk,4.773,51.972
33,Beneden-Leeuwen,5.52,51.881
79,Schoonebeek,6.885,52.662
24,Frieschepalen,6.204,53.109
39,Balkbrug,6.391,52.601
39,Rilland,4.183,51.416
112,Burgh-Haamstede,3.742,51.696
160,Uithuizen,6.673,53.405
397,West-Terschelling,5.213,53.358
46,Klundert,4.537,51.665
66,Halsteren,4.27,51.528
94,Goirle,5.058,51.521
39,Valthe,6.899,52.846
24,Noardburgum,6.005,53.223
66,Dreischor,3.983,51.689
33,Gastel,5.554,51.285
46,'t Horntje,4.785,53.005
24,Ritthem,3.624,51.451
28,Aerdenhout,4.6,52.362
28,Haps,5.863,51.688
39,Oirsbeek,5.908,50.95
39,Biervliet,3.684,51.326
39,Oostwold,6.439,53.202
28,Bruchem,5.237,51.788
192,Cuijk,5.877,51.731
33,Weidum,5.742,53.144
66,Schoonhoven,4.849,51.95
160,Echt,5.871,51.106
46,Buurse,6.829,52.147
397,Hardenberg,6.621,52.57
46,Ravenstein,5.646,51.796
39,Peins,5.595,53.205
28,Enumatil,6.409,53.216
46,Mussel,7.038,52.954
39,Reeuwijk-Brug,4.723,52.045
46,Egmond aan Zee,4.63,52.619
160,Medemblik,5.104,52.767
46,Woubrugge,4.636,52.168
46,Geffen,5.463,51.743
46,Grashoek,5.943,51.36
28,Alblasserdam,4.664,51.866
39,Pijnacker,4.43,52.019
79,Borne,6.75,52.3
55,Abcoude,4.964,52.273
28,Veele,7.097,53.04
24,Velp,5.715,51.75
39,Bocholtz,6.007,50.818
160,Hilversum,5.17,52.223
46,Marsum,5.727,53.212
33,Kaatsheuvel,5.035,51.657
24,Wilhelminadorp,3.894,51.53
55,Kockengen,4.949,52.147
33,Hernen,5.679,51.835
55,Kamerik,4.895,52.111
46,Ulestraten,5.78,50.905
192,De Cocksdorp,4.871,53.156
46,Odoorn,6.847,52.851
331,Stadskanaal,6.962,52.983
46,Nieuw-Loosdrecht,5.14,52.198
94,Bergentheim,6.614,52.527
24,Langbroek,5.327,52.012
33,Wijthmen,6.175,52.49
276,Nijmegen,5.856,51.829
46,Ouwerkerk,3.982,51.625
46,Westerbeek,5.864,51.582
28,Den Andel,6.51,53.386
28,Callantsoog,4.697,52.837
39,Hoevelaken,5.458,52.176
66,Tjalleberd,5.944,52.998
160,Eijsden,5.708,50.779
28,Nieuw-Beijerland,4.34,51.81
39,Roderesch,6.425,53.115
24,Hazerswoude-Rijndijk,4.59,52.128
66,Vleuten,5.014,52.107
55,Witteveen,6.661,52.814
24,Bingelrade,5.94,50.969
55,Nieuwleusen,6.279,52.588
46,Loon op Zand,5.074,51.627
33,Haarzuilens,4.999,52.122
33,Noordwolde-Zuid,6.149,52.876
24,Erichem,5.349,51.9
46,Overberg,5.497,52.041
39,Oventje,5.675,51.679
46,Sint Jansteen,4.053,51.262
39,Alphen,5.473,51.822
94,Leuth,5.993,51.838
66,Posterholt,6.033,51.122
46,Silvolde,6.386,51.906
46,Stad aan 't Haringvliet,4.243,51.739
55,Beek,5.798,50.94
28,Zwinderen,6.678,52.727
24,Altweerterheide,5.68,51.22
134,Dronten,5.715,52.519
94,Oudeschip,6.823,53.431
66,Gelselaar,6.527,52.169
33,Doornspijk,5.817,52.417
28,Wouwse Plantage,4.389,51.482
66,Acht,5.429,51.48
46,Laar,5.706,51.276
